 Stg  TypeStg      Time/Vol   TotReturnSI     LayerSI01     LayerSI02     LayerSI03      WellSI01      WellSI02      WellSI03        Wprd01        Wprd02        Wprd03        Temp01        Temp02        Temp03
   2        2        0.3208        0.0000        4.2462       21.5684        1.0904        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.3250        0.0000        3.4326       15.3358        1.0900        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.3292        0.0000        2.9480       11.1263        1.0897        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.3333        0.0000        2.6631        8.3303        1.0893        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.3375        0.0000        2.4969        6.5061        1.0890        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.3417        0.0000        2.4005        5.3374        1.0886        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.3458        0.0000        2.3447        4.6008        1.0882        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.3500        0.0000        2.3124        4.1429        1.0879        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.3542        0.0000        2.2935        3.8611        1.0875        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.3583        0.0000        2.2824        3.6890        1.0872        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.3625        0.0000        2.2758        3.5842        1.0868        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.3667        0.0000        2.2717        3.5204        1.0865        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.3708        0.0000        2.2691        3.4816        1.0861        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.3750        0.0000        2.2673        3.4579        1.0858        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.3792        0.0000        2.2660        3.4433        1.0854        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.3833        0.0000        2.2650        3.4341        1.0851        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.3875        0.0000        2.2642        3.4283        1.0847        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.3917        0.0000        2.2634        3.4244        1.0844        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.3958        0.0000        2.2627        3.4217        1.0840        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.4000        0.0000        2.2620        3.4197        1.0836        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.4042        0.0000        2.2613        3.4182        1.0833        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.4083        0.0000        2.2606        3.4169        1.0829        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.4125        0.0000        2.2600        3.4158        1.0826        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.4167        0.0000        2.2593        3.4148        1.0822        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.4208        0.0000        2.2587        3.4139        1.0819        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.4250        0.0000        2.2580        3.4129        1.0815        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.4292        0.0000        2.2573        3.4120        1.0812        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.4333        0.0000        2.2567        3.4111        1.0808        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.4375        0.0000        2.2560        3.4102        1.0805        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.4417        0.0000        2.2554        3.4094        1.0801        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.4458        0.0000        2.2547        3.4085        1.0798        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.4500        0.0000        2.2541        3.4076        1.0794        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.4542        0.0000        2.2534        3.4067        1.0791        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.4583        0.0000        2.2528        3.4058        1.0787        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.4625        0.0000        2.2521        3.4050        1.0784        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
