Squeeze V - Near well squeeze treatment simulator


This is the MULTI-LAYER RADIAL model.

Well Geometry:

           0.50 feet        30  annuli, each  1.6500 feet of radius
          |<------>|
                                                   \    \    \    \
 (        +        )    )    )   . . . . . . . . .  |    |    |    |
                                                   /    /    /    /
 |<-- Well Bore -->|
          |<-------------------  50.00 feet ---------------------->|

Stage   Duration       Well Mode    Well  Rate    Well Conc.     Well Temp. 
 No.   (Hours/days)                  (Bpm/Bpd)  WatComp 1 (ppm)     (deg C)
-----  ------------  -------------  ----------  ---------------  ---------- 
  1           2.400  Inh.Injection       7.343	     150000.000	     111.000
  2          21.600  Water Inject        7.343	          0.000	     111.000
  3          12.000  Shut-in             0.000	          0.000	     111.000
  4           8.000  Production       7345.000	          0.000	     111.000

 Simulating ...

	Elapsed Time	Well Concentration  Cumulative Production     Recovered     Well Bottomhole Temp.
       (days)          Comp 1 (ppm)      Comp 1 (ppm.bbls)     Comp 1 (percent)          (deg C)      
    ------------    ------------------  ---------------------  ----------------  ----------------
          5.218               0.00000               0.00000             110.93510
          5.238               0.00000               0.00000             110.93950
          5.258               0.00000               0.00000             110.94361
          5.278               0.00000               0.00000             110.94745
          5.298               0.00000               0.00000             110.95104
          5.318               0.00000               0.00000             110.95439
          5.338               0.00000               0.00000             110.95752
          5.358               0.00000               0.00000             110.96044
          5.378               0.00000               0.00000             110.96317
          5.398               0.00000               0.00000             110.96571
          5.418               0.00000               0.00000             110.96809
          5.438               0.00000               0.00000             110.97030
          5.458               0.00000               0.00000             110.97237
          5.478               0.00000               0.00000             110.97430
          5.498               0.00000               0.00000             110.97609
          5.518               0.00000               0.00000             110.97776
          5.538               0.00000               0.00000             110.97933
          5.558               0.00000               0.00000             110.98078
          5.578               0.00000               0.00000             110.98213
          5.598               0.00000               0.00000             110.98340
          5.618               0.00000               0.00000             110.98457
          5.638               0.00000               0.00000             110.98566
          5.658               0.00000               0.00000             110.98668
          5.678               0.00000               0.00000             110.98763
          5.698               0.00000               0.00000             110.98851
          5.718               0.00000               0.00000             110.98933
          5.738               0.00000               0.00000             110.99010
          5.758               0.00000               0.00000             110.99081
          5.778               0.00000               0.00000             110.99147
          5.798               0.00000               0.00000             110.99208
          5.818               0.00000               0.00000             110.99266
          5.838               0.00000               0.00000             110.99319
          5.858               0.00000               0.00000             110.99368
          5.878               0.00000               0.00000             110.99414
          5.898               0.00000               0.00000             110.99457
          5.918               0.00000               0.00000             110.99496
          5.938               0.00000               0.00000             110.99533
          5.958               0.00000               0.00000             110.99567
          5.978               0.00000               0.00000             110.99599
          5.998               0.00000               0.00000             110.99628
          6.018               0.00000               0.00000             110.99656
          6.038               0.00000               0.00000             110.99681
          6.058               0.00000               0.00000             110.99704
          6.078               0.00000               0.00000             110.99726
          6.098               0.00000               0.00000             110.99747
          6.118               0.00000               0.00000             110.99765
          6.138               0.00000               0.00000             110.99783
          6.158               0.00000               0.00000             110.99799
          6.178               0.00000               0.00000             110.99814
          6.198               0.00000               0.00000             110.99828
          6.218               0.00000               0.00000             110.99841
          6.238               0.00000               0.00000             110.99853
          6.258               0.00000               0.00000             110.99864
          6.278               0.00000               0.00000             110.99874
          6.298               0.00000               0.00000             110.99883
          6.318               0.00000               0.00000             110.99892
          6.338               0.00000               0.00000             110.99900
          6.358               0.00000               0.00000             110.99908
          6.378               0.00000               0.00000             110.99915
          6.398               0.00000               0.00000             110.99921
          6.418               0.00000               0.00000             110.99927
          6.438               0.00000               0.00000             110.99933
          6.458               0.00000               0.00000             110.99938
          6.478               0.00000               0.00000             110.99943
          6.498               0.00000               0.00000             110.99947
          6.518               0.00000               0.00000             110.99951
          6.538               0.00000               0.00000             110.99955
          6.558               0.00000               0.00000             110.99958
          6.578               0.00000               0.00000             110.99961
          6.598               0.00000               0.00000             110.99964
          6.618               0.00000               0.00000             110.99967
          6.638               0.00000               0.00000             110.99970
          6.658               0.00000               0.00000             110.99972
          6.678               0.00000               0.00000             110.99974
          6.698               0.00000               0.00000             110.99976
          6.718               0.00000               0.00000             110.99978
          6.738               0.00000               0.00000             110.99980
          6.758               0.00000               0.00000             110.99981
          6.778               0.00000               0.00000             110.99983
          6.798               0.00000               0.00000             110.99984
          6.818               0.00000               0.00000             110.99985
          6.838               0.00000               0.00000             110.99986
          6.858               0.00000               0.00000             110.99988
          6.878               0.00000               0.00000             110.99989
          6.898               0.00000               0.00000             110.99989
          6.918               0.00000               0.00000             110.99990
          6.938               0.00000               0.00000             110.99991
          6.958               0.00000               0.00000             110.99992
          6.978               0.00000               0.00000             110.99992
          6.998               0.00000               0.00000             110.99993
          7.018               0.00000               0.00000             110.99994
          7.038               0.00000               0.00000             110.99994
          7.058               0.00000               0.00000             110.99994
          7.078               0.00000               0.00000             110.99995
          7.098               0.00000               0.00000             110.99995
          7.118               0.00000               0.00000             110.99996
          7.138               0.00000               0.00000             110.99996
          7.158               0.00000               0.00000             110.99996
          7.178               0.00000               0.00000             110.99997
          7.198               0.00000               0.00000             110.99997
          7.218               0.00000               0.00000             110.99997
          7.238               0.00000               0.00000             110.99997
          7.258               0.00000               0.00000             110.99998
          7.278               0.00000               0.00000             110.99998
          7.298               0.00000               0.00000             110.99998
          7.318               0.00000               0.00000             110.99998
          7.338               0.00000               0.00000             110.99998
          7.358               0.00000               0.00000             110.99998
          7.378               0.00000               0.00000             110.99999
          7.398               0.00000               0.00000             110.99999
          7.418               0.00000               0.00000             110.99999
          7.438               0.00000               0.00000             110.99999
          7.458               0.00000               0.00000             110.99999
          7.478               0.00000               0.00000             110.99999
          7.498               0.00000               0.00000             110.99999
          7.518               0.00000               0.00000             110.99999
          7.538               0.00000               0.00000             110.99999
          7.558               0.00000               0.00000             110.99999
          7.578               0.00000               0.00000             110.99999
          7.598               0.00000               0.00000             110.99999
          7.618               0.00000               0.00000             110.99999
          7.638               0.00000               0.00000             111.00000
          7.658               0.00000               0.00000             111.00000
          7.678               0.00000               0.00000             111.00000
          7.698               0.00000               0.00000             111.00000
          7.718               0.00000               0.00000             111.00000
          7.738               0.00000               0.00000             111.00000
          7.758               0.00000               0.00000             111.00000
          7.778               0.00000               0.00000             111.00000
          7.798               0.00000               0.00000             111.00000
          7.818               0.00000               0.00000             111.00000
          7.838               0.00000               0.00000             111.00000
          7.858               0.00000               0.00000             111.00000
          7.878               0.00000               0.00000             111.00000
          7.898               0.00000               0.00000             111.00000
          7.918               0.00000               0.00000             111.00000
          7.938               0.00000               0.00000             111.00000
          7.958               0.00000               0.00000             111.00000
          7.978               0.00000               0.00000             111.00000
          7.998               0.00000               0.00000             111.00000
          8.018               0.00000               0.00000             111.00000
          8.038               0.00000               0.00000             111.00000
          8.058               0.00000               0.00000             111.00000
          8.078               0.00000               0.00000             111.00000
          8.098               0.00000               0.00000             111.00000
          8.118               0.00000               0.00000             111.00000
          8.138               0.00000               0.00000             111.00000
          8.158               0.00000               0.00000             111.00000
          8.178               0.00000               0.00000             111.00000
          8.198               0.00000               0.00000             111.00000
          8.218               0.00000               0.00000             111.00000
          8.238               0.00000               0.00000             111.00000
          8.258               0.00000               0.00000             111.00000
          8.278               0.00000               0.00000             111.00000
          8.298               0.00000               0.00000             111.00000
          8.318               0.00000               0.00000             111.00000
          8.338               0.00000               0.00000             111.00000
          8.358               0.00000               0.00000             111.00000
          8.378               0.00000               0.00000             111.00000
          8.398               0.00000               0.00000             111.00000
          8.418               0.00000               0.00000             111.00000
          8.438               0.00000               0.00000             111.00000
          8.458               0.00000               0.00000             111.00000
          8.478               0.00000               0.00000             111.00000
          8.498               0.00000               0.00000             111.00000
          8.518               0.00000               0.00000             111.00000
          8.538               0.00000               0.00000             111.00000
          8.558               0.00000               0.00000             111.00000
          8.578               0.00000               0.00000             111.00000
          8.598               0.00000               0.00000             111.00000
          8.618               0.00000               0.00000             111.00000
          8.638               0.00000               0.00000             111.00000
          8.658               0.00000               0.00000             111.00000
          8.678               0.00000               0.00000             111.00000
          8.698               0.00000               0.00000             111.00000
          8.718               0.00000               0.00000             111.00000
          8.738               0.00000               0.00000             111.00000
          8.758               0.00000               0.00000             111.00000
          8.778               0.00000               0.00000             111.00000
          8.798               0.00000               0.00000             111.00000
          8.818               0.00000               0.00000             111.00000
          8.838               0.00000               0.00000             111.00000
          8.858               0.00000               0.00000             111.00000
          8.878               0.00000               0.00000             111.00000
          8.898               0.00000               0.00000             111.00000
          8.918               0.00000               0.00000             111.00000
          8.938               0.00000               0.00000             111.00000
          8.958               0.00000               0.00000             111.00000
          8.978               0.00000               0.00000             111.00000
          8.998               0.00000               0.00000             111.00000
          9.018               0.00000               0.00000             111.00000
          9.038               0.00000               0.00000             111.00000
          9.058               0.00000               0.00000             111.00000
          9.078               0.00000               0.00000             111.00000
          9.098               0.00000               0.00000             111.00000
          9.118               0.00000               0.00000             111.00000
          9.138               0.00000               0.00000             111.00000
          9.158               0.00000               0.00000             111.00000
          9.178               0.00000               0.00000             111.00000
          9.198               0.00000               0.00000             111.00000
          9.218               0.00000               0.00000             111.00000
          9.238               0.00000               0.00000             111.00000
          9.258               0.00000               0.00000             111.00000
          9.278               0.00000               0.00000             111.00000
          9.298               0.00000               0.00000             111.00000
          9.318               0.00000               0.00000             111.00000
          9.338               0.00000               0.00000             111.00000
          9.358               0.00000               0.00000             111.00000
          9.378               0.00000               0.00000             111.00000
          9.398               0.00000               0.00000             111.00000
          9.418               0.00000               0.00000             111.00000
          9.438               0.00000               0.00000             111.00000
          9.458               0.00000               0.00000             111.00000
          9.478               0.00000               0.00000             111.00000
          9.498               0.00000               0.00000             111.00000


... simulation complete.


